,sentence_text,e1,e2,relation_type,normalized_sentence
1812,"Patients treated with acebutolol plus catecholamine depletors should, therefore, be observed closely for evidence of marked bradycardia or hypotension which may present as vertigo, syncope/presyncope, or orthostatic changes in blood pressure without compensatory tachycardia.",acebutolol,catecholamine depletors,advise,"Patients_bf treated_bf DRUG plus_be catecholamine_be depletors_be ,_be therefore_be ,_be observed_be closely_be evidence_be marked_be bradycardia_be hypotension_be may_be present_be vertigo_be ,_be syncope/presyncope_be ,_be orthostatic_be changes_be blood_be pressure_be without_be compensatory_be tachycardia_be ._be"
1842,"Caution is advised when beginning, discontinuing, or changing the dose of DIAMOX in patients receiving primidone.",DIAMOX,primidone,advise,"Caution_bf advised_bf beginning_bf ,_bf discontinuing_bf ,_bf changing_bf dose_bf DRUG patients_be receiving_be OTHER_DRUG ._af"
1875,Microdosed minipill progestin preparations are not recommended for use with Soriatane.,progestin,Soriatane,advise,Microdosed_bf minipill_bf DRUG preparations_be recommended_be use_be OTHER_DRUG ._af
1880,"Consequently, the combination of methotrexate with acitretin is also contraindicated.",methotrexate,acitretin,advise,"Consequently_bf ,_bf combination_bf DRUG OTHER_DRUG also_af contraindicated_af ._af"
1898,Vitamin A and oral retinoids: Concomitant administration of vitamin A and/or other oral retinoids with acitretin must be avoided because of the risk of hypervitaminosis A.,vitamin A,acitretin,advise,Vitamin_bf A_bf oral_bf retinoids:_bf Concomitant_bf administration_bf vitamin_bf A_bf and/or_bf oral_bf retinoids_bf OTHER_DRUG must_be avoided_be risk_be hypervitaminosis_be A_be ._be
1899,Vitamin A and oral retinoids: Concomitant administration of vitamin A and/or other oral retinoids with acitretin must be avoided because of the risk of hypervitaminosis A.,retinoids,acitretin,advise,Vitamin_bf A_bf oral_bf retinoids:_bf Concomitant_bf administration_bf vitamin_bf A_bf and/or_bf oral_bf DRUG OTHER_DRUG must_af avoided_af risk_af hypervitaminosis_af A_af ._af
1990,"In the presence of these methylxanthines, larger doses of adenosine may be required or adenosine may not be effective.",methylxanthines,adenosine,advise,"In_bf presence_bf DRUG ,_be larger_be doses_be OTHER_DRUG may_af required_af OTHER_DRUG may_af effective_af ._af"
1991,"In the presence of these methylxanthines, larger doses of adenosine may be required or adenosine may not be effective.",methylxanthines,adenosine,advise,"In_bf presence_bf DRUG ,_be larger_be doses_be OTHER_DRUG may_af required_af OTHER_DRUG may_af effective_af ._af"
2001,"Nafazodone, fluvoxamine, cimetidine (consider Xanax dose reduction).",Nafazodone,Xanax,advise,"DRUG ,_be fluvoxamine_be ,_be cimetidine_be (consider_be OTHER_DRUG dose_af reduction)_af ._af"
2003,"Nafazodone, fluvoxamine, cimetidine (consider Xanax dose reduction).",fluvoxamine,Xanax,advise,"Nafazodone_bf ,_bf DRUG ,_be cimetidine_be (consider_be OTHER_DRUG dose_af reduction)_af ._af"
2004,"Nafazodone, fluvoxamine, cimetidine (consider Xanax dose reduction).",cimetidine,Xanax,advise,"Nafazodone_bf ,_bf fluvoxamine_bf ,_bf DRUG (consider_be OTHER_DRUG dose_af reduction)_af ._af"
2124,"However, interactions may be expected, and UROXATRAL should NOT be used in combination with other alpha-blockers.",UROXATRAL,alpha-blockers,advise,"However_bf ,_bf interactions_bf may_bf expected_bf ,_bf DRUG NOT_be used_be combination_be OTHER_DRUG ._af"
2298,"In patients receiving mercaptopurine (Purinethol) or azathioprine (Imuran), the concomitant administration of 300-600 mg of allopurinol per day will require a reduction in dose to approximately one-third to one-fourth of the usual dose of mercaptopurine or azathioprine.",allopurinol,mercaptopurine,advise,"In_bf patients_bf receiving_bf OTHER_DRUG (Purinethol)_be azathioprine_be (Imuran)_be ,_be concomitant_be administration_be 300-600_be mg_be DRUG per_af day_af require_af reduction_af dose_af approximately_af one-third_af one-fourth_af usual_af dose_af OTHER_DRUG azathioprine_af ._af"
2299,"In patients receiving mercaptopurine (Purinethol) or azathioprine (Imuran), the concomitant administration of 300-600 mg of allopurinol per day will require a reduction in dose to approximately one-third to one-fourth of the usual dose of mercaptopurine or azathioprine.",allopurinol,azathioprine,advise,"In_bf patients_bf receiving_bf mercaptopurine_bf (Purinethol)_bf OTHER_DRUG (Imuran)_be ,_be concomitant_be administration_be 300-600_be mg_be DRUG per_af day_af require_af reduction_af dose_af approximately_af one-third_af one-fourth_af usual_af dose_af mercaptopurine_af OTHER_DRUG ._af"
2325,"Although a causal mechanism and a cause-and-effect relationship have not been established, current evidence suggests that renal function should be monitored in patients on thiazide diuretics and allopurinol even in the absence of renal failure, and dosage levels should be even more conservatively adjusted in those patients on such combined therapy if diminished renal function is detected..",thiazide diuretics,allopurinol,advise,"Although_bf causal_bf mechanism_bf cause-and-effect_bf relationship_bf established_bf ,_bf current_bf evidence_bf suggests_bf renal_bf function_bf monitored_bf patients_bf thiazide_bf diuretics_bf OTHER_DRUG even_be absence_be renal_be failure_be ,_be dosage_be levels_be even_be conservatively_be adjusted_be patients_be combined_be therapy_be diminished_be renal_be function_be detected_be ._be ._be"
2375,"Because there is a theoretical basis that these effects may be additive, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and AXERT within 24 hours of each other should be avoided.",ergotamine,AXERT,advise,"Because_bf theoretical_bf basis_bf effects_bf may_bf additive_bf ,_bf use_bf ergotamine-containing_bf ergot-type_bf medications_bf (like_bf dihydroergotamine_bf methysergide)_bf OTHER_DRUG within_be 24_be hours_be avoided_be ._be"
2378,"Because there is a theoretical basis that these effects may be additive, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and AXERT within 24 hours of each other should be avoided.",ergot-type medications,AXERT,advise,"Because_bf theoretical_bf basis_bf effects_bf may_bf additive_bf ,_bf use_bf ergotamine-containing_bf ergot-type_bf medications_bf (like_bf dihydroergotamine_bf methysergide)_bf OTHER_DRUG within_be 24_be hours_be avoided_be ._be"
2380,"Because there is a theoretical basis that these effects may be additive, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and AXERT within 24 hours of each other should be avoided.",dihydroergotamine,AXERT,advise,"Because_bf theoretical_bf basis_bf effects_bf may_bf additive_bf ,_bf use_bf ergotamine-containing_bf ergot-type_bf medications_bf (like_bf DRUG methysergide)_be OTHER_DRUG within_af 24_af hours_af avoided_af ._af"
2381,"Because there is a theoretical basis that these effects may be additive, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and AXERT within 24 hours of each other should be avoided.",methysergide,AXERT,advise,"Because_bf theoretical_bf basis_bf effects_bf may_bf additive_bf ,_bf use_bf ergotamine-containing_bf ergot-type_bf medications_bf (like_bf dihydroergotamine_bf methysergide)_bf OTHER_DRUG within_be 24_be hours_be avoided_be ._be"
2387,Other 5-HT1B/1D Agonists Concomitant use of other 5-HT1B/1D agonists within 24 hours of treatment with AXERT is contraindicated.,5-HT1B/1D agonists,AXERT,advise,Other_bf 5-HT1B/1D_bf Agonists_bf Concomitant_bf use_bf 5-HT1B/1D_bf agonists_bf within_bf 24_bf hours_bf treatment_bf OTHER_DRUG contraindicated_be ._be
2419,"If concomitant treatment with AXERT and an SSRI is clinically warranted, appropriate observation of the patient is advised.",AXERT,SSRI,advise,"If_bf concomitant_bf treatment_bf DRUG OTHER_DRUG clinically_af warranted_af ,_af appropriate_af observation_af patient_af advised_af ._af"
2437,"Although the interaction between almotriptan and other potent CYP3A4 inhibitors (e.g., itraconazole, ritonavir, and erythromycin) has not been studied, increased exposures to almotriptan may be expected when almotriptan is used concomitantly with these medications.",itraconazole,almotriptan,advise,"Although_bf interaction_bf OTHER_DRUG potent_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be DRUG ,_af ritonavir_af ,_af erythromycin)_af studied_af ,_af increased_af exposures_af OTHER_DRUG may_af expected_af OTHER_DRUG used_af concomitantly_af medications_af ._af"
2440,"Although the interaction between almotriptan and other potent CYP3A4 inhibitors (e.g., itraconazole, ritonavir, and erythromycin) has not been studied, increased exposures to almotriptan may be expected when almotriptan is used concomitantly with these medications.",ritonavir,almotriptan,advise,"Although_bf interaction_bf OTHER_DRUG potent_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be itraconazole_be ,_be DRUG ,_af erythromycin)_af studied_af ,_af increased_af exposures_af OTHER_DRUG may_af expected_af OTHER_DRUG used_af concomitantly_af medications_af ._af"
2442,"Although the interaction between almotriptan and other potent CYP3A4 inhibitors (e.g., itraconazole, ritonavir, and erythromycin) has not been studied, increased exposures to almotriptan may be expected when almotriptan is used concomitantly with these medications.",erythromycin,almotriptan,advise,"Although_bf interaction_bf OTHER_DRUG potent_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be itraconazole_be ,_be ritonavir_be ,_be erythromycin)_be studied_be ,_be increased_be exposures_be OTHER_DRUG may_af expected_af OTHER_DRUG used_af concomitantly_af medications_af ._af"
2447,Concomitant administration of alosetron and fluvoxamine is contraindicated.,alosetron,fluvoxamine,advise,Concomitant_bf administration_bf DRUG OTHER_DRUG contraindicated_af ._af
2448,"Concomitant administration of alosetron and moderate CYP1A2 inhibitors, including quinolone antibiotics and cimetidine, has not been evaluated, but should be avoided unless clinically necessary because of similar potential drug interactions.",alosetron,quinolone antibiotics,advise,"Concomitant_bf administration_bf DRUG moderate_be CYP1A2_be inhibitors_be ,_be including_be quinolone_be antibiotics_be cimetidine_be ,_be evaluated_be ,_be avoided_be unless_be clinically_be necessary_be similar_be potential_be drug_be interactions_be ._be"
2449,"Concomitant administration of alosetron and moderate CYP1A2 inhibitors, including quinolone antibiotics and cimetidine, has not been evaluated, but should be avoided unless clinically necessary because of similar potential drug interactions.",alosetron,cimetidine,advise,"Concomitant_bf administration_bf DRUG moderate_be CYP1A2_be inhibitors_be ,_be including_be quinolone_be antibiotics_be OTHER_DRUG ,_af evaluated_af ,_af avoided_af unless_af clinically_af necessary_af similar_af potential_af drug_af interactions_af ._af"
2453,Caution should be used when alosetron and ketoconazole are administered concomitantly.,alosetron,ketoconazole,advise,Caution_bf used_bf DRUG OTHER_DRUG administered_af concomitantly_af ._af
2454,"Coadministration of alosetron and strong CYP3A4 inhibitors, such as clarithromycin, telithromycin, protease inhibitors, voriconazole, and itraconazole has not been evaluated but should be undertaken with caution because of similar potential drug interactions.",alosetron,clarithromycin,advise,"Coadministration_bf DRUG strong_be CYP3A4_be inhibitors_be ,_be OTHER_DRUG ,_af telithromycin_af ,_af protease_af inhibitors_af ,_af voriconazole_af ,_af itraconazole_af evaluated_af undertaken_af caution_af similar_af potential_af drug_af interactions_af ._af"
2455,"Coadministration of alosetron and strong CYP3A4 inhibitors, such as clarithromycin, telithromycin, protease inhibitors, voriconazole, and itraconazole has not been evaluated but should be undertaken with caution because of similar potential drug interactions.",alosetron,telithromycin,advise,"Coadministration_bf DRUG strong_be CYP3A4_be inhibitors_be ,_be clarithromycin_be ,_be OTHER_DRUG ,_af protease_af inhibitors_af ,_af voriconazole_af ,_af itraconazole_af evaluated_af undertaken_af caution_af similar_af potential_af drug_af interactions_af ._af"
2456,"Coadministration of alosetron and strong CYP3A4 inhibitors, such as clarithromycin, telithromycin, protease inhibitors, voriconazole, and itraconazole has not been evaluated but should be undertaken with caution because of similar potential drug interactions.",alosetron,protease inhibitors,advise,"Coadministration_bf DRUG strong_be CYP3A4_be inhibitors_be ,_be clarithromycin_be ,_be telithromycin_be ,_be protease_be inhibitors_be ,_be voriconazole_be ,_be itraconazole_be evaluated_be undertaken_be caution_be similar_be potential_be drug_be interactions_be ._be"
2457,"Coadministration of alosetron and strong CYP3A4 inhibitors, such as clarithromycin, telithromycin, protease inhibitors, voriconazole, and itraconazole has not been evaluated but should be undertaken with caution because of similar potential drug interactions.",alosetron,voriconazole,advise,"Coadministration_bf DRUG strong_be CYP3A4_be inhibitors_be ,_be clarithromycin_be ,_be telithromycin_be ,_be protease_be inhibitors_be ,_be OTHER_DRUG ,_af itraconazole_af evaluated_af undertaken_af caution_af similar_af potential_af drug_af interactions_af ._af"
2458,"Coadministration of alosetron and strong CYP3A4 inhibitors, such as clarithromycin, telithromycin, protease inhibitors, voriconazole, and itraconazole has not been evaluated but should be undertaken with caution because of similar potential drug interactions.",alosetron,itraconazole,advise,"Coadministration_bf DRUG strong_be CYP3A4_be inhibitors_be ,_be clarithromycin_be ,_be telithromycin_be ,_be protease_be inhibitors_be ,_be voriconazole_be ,_be OTHER_DRUG evaluated_af undertaken_af caution_af similar_af potential_af drug_af interactions_af ._af"
2490,Careful observation is required when amantadine is administered concurrently with central nervous system stimulants.,amantadine,central nervous system stimulants,advise,Careful_bf observation_bf required_bf DRUG administered_be concurrently_be central_be nervous_be system_be stimulants_be ._be
2491,Special consideration should be given to the administration of ETHYOL in patients receiving antihypertensive medications or other drugs that could cause or potentiate hypotension.,ETHYOL,antihypertensive medications,advise,Special_bf consideration_bf given_bf administration_bf DRUG patients_be receiving_be antihypertensive_be medications_be drugs_be could_be cause_be potentiate_be hypotension_be ._be
2493,Lithium generally should not be given with diuretics because they reduce its renal clearance and add a high risk of lithium toxicity.,Lithium,diuretics,advise,DRUG generally_be given_be OTHER_DRUG reduce_af renal_af clearance_af add_af high_af risk_af DRUG toxicity_af ._af
2500,"Therefore, when MIDAMOR and non-steroidal anti-inflammatory agents are used concomitantly, the patient should be observed closely to determine if the desired effect of the diuretic is obtained.",MIDAMOR,non-steroidal anti-inflammatory agents,advise,"Therefore_bf ,_bf DRUG non-steroidal_be anti-inflammatory_be agents_be used_be concomitantly_be ,_be patient_be observed_be closely_be determine_be desired_be effect_be diuretic_be obtained_be ._be"
2515,Monitoring for amiodarone toxicity and serial measurement of amiodarone serum concentration during concomitant protease inhibitor therapy should be considered.,amiodarone,protease inhibitor,advise,Monitoring_bf DRUG toxicity_be serial_be measurement_be DRUG serum_af concentration_af concomitant_af protease_af inhibitor_af therapy_af considered_af ._af
2561,"On administration of oral amiodarone, the need for digitalis therapy should be reviewed and the dose reduced by approximately 50% or discontinued.",amiodarone,digitalis,advise,"On_bf administration_bf oral_bf DRUG ,_be need_be OTHER_DRUG therapy_af reviewed_af dose_af reduced_af approximately_af 50%_af discontinued_af ._af"
2750,"Nevertheless, caution is indicated in the coadministration of TCAs with any of the SSRIs and also in switching from one class to the other.",TCAs,SSRIs,advise,"Nevertheless_bf ,_bf caution_bf indicated_bf coadministration_bf DRUG OTHER_DRUG also_af switching_af one_af class_af ._af"
2890,Appropriate laboratory testing should be considered prior to initiating combination therapy with Amprenavir and ritonavir and at periodic intervals or if any clinical signs or symptoms of hyperlipidemia or elevated liver function tests occur during therapy.,Amprenavir,ritonavir,advise,Appropriate_bf laboratory_bf testing_bf considered_bf prior_bf initiating_bf combination_bf therapy_bf DRUG OTHER_DRUG periodic_af intervals_af clinical_af signs_af symptoms_af hyperlipidemia_af elevated_af liver_af function_af tests_af occur_af therapy_af ._af
2971,"Based on clinical and pharmacokinetic results from the ATAC trial, tamoxifen should not be administered with anastrozole (see CLINICAL PHARMACOLOGY   Drug Interactions and CLINICAL PHARMACOLOGY - Clinical Studies - Adjuvant Treatment of Breast Cancer in Postmenopausal Women subsections).",tamoxifen,anastrozole,advise,"Based_bf clinical_bf pharmacokinetic_bf results_bf ATAC_bf trial_bf ,_bf DRUG administered_be OTHER_DRUG (see_af CLINICAL_af PHARMACOLOGY_af Drug_af Interactions_af CLINICAL_af PHARMACOLOGY_af -_af Clinical_af Studies_af -_af Adjuvant_af Treatment_af Breast_af Cancer_af Postmenopausal_af Women_af subsections)_af ._af"
2978,Estrogen-containing therapies should not be used with ARIMIDEX as they may diminish its pharmacologic action.,Estrogen,ARIMIDEX,advise,Estrogen-containing_bf therapies_bf used_bf OTHER_DRUG may_be diminish_be pharmacologic_be action_be ._be
3003,"5HT3 Antagonists: Based on reports of profound hypotension and loss of consciousness when apomorphine was administered with ondansetron, the concomitant use of apomorphine with drugs of the 5HT3 antagonist class (including, for example, ondansetron, granisetron, dolasetron, palonosetron, and alosetron) is contraindicated .",apomorphine,5HT3 antagonist class,advise,"5HT3_bf Antagonists:_bf Based_bf reports_bf profound_bf hypotension_bf loss_bf consciousness_bf DRUG administered_be ondansetron_be ,_be concomitant_be use_be DRUG drugs_af 5HT3_af antagonist_af class_af (including_af ,_af example_af ,_af ondansetron_af ,_af granisetron_af ,_af dolasetron_af ,_af palonosetron_af ,_af alosetron)_af contraindicated_af ._af"
3004,"5HT3 Antagonists: Based on reports of profound hypotension and loss of consciousness when apomorphine was administered with ondansetron, the concomitant use of apomorphine with drugs of the 5HT3 antagonist class (including, for example, ondansetron, granisetron, dolasetron, palonosetron, and alosetron) is contraindicated .",apomorphine,ondansetron,advise,"5HT3_bf Antagonists:_bf Based_bf reports_bf profound_bf hypotension_bf loss_bf consciousness_bf DRUG administered_be OTHER_DRUG ,_af concomitant_af use_af DRUG drugs_af 5HT3_af antagonist_af class_af (including_af ,_af example_af ,_af OTHER_DRUG ,_af granisetron_af ,_af dolasetron_af ,_af palonosetron_af ,_af alosetron)_af contraindicated_af ._af"
3005,"5HT3 Antagonists: Based on reports of profound hypotension and loss of consciousness when apomorphine was administered with ondansetron, the concomitant use of apomorphine with drugs of the 5HT3 antagonist class (including, for example, ondansetron, granisetron, dolasetron, palonosetron, and alosetron) is contraindicated .",apomorphine,granisetron,advise,"5HT3_bf Antagonists:_bf Based_bf reports_bf profound_bf hypotension_bf loss_bf consciousness_bf DRUG administered_be ondansetron_be ,_be concomitant_be use_be DRUG drugs_af 5HT3_af antagonist_af class_af (including_af ,_af example_af ,_af ondansetron_af ,_af OTHER_DRUG ,_af dolasetron_af ,_af palonosetron_af ,_af alosetron)_af contraindicated_af ._af"
3006,"5HT3 Antagonists: Based on reports of profound hypotension and loss of consciousness when apomorphine was administered with ondansetron, the concomitant use of apomorphine with drugs of the 5HT3 antagonist class (including, for example, ondansetron, granisetron, dolasetron, palonosetron, and alosetron) is contraindicated .",apomorphine,dolasetron,advise,"5HT3_bf Antagonists:_bf Based_bf reports_bf profound_bf hypotension_bf loss_bf consciousness_bf DRUG administered_be ondansetron_be ,_be concomitant_be use_be DRUG drugs_af 5HT3_af antagonist_af class_af (including_af ,_af example_af ,_af ondansetron_af ,_af granisetron_af ,_af OTHER_DRUG ,_af palonosetron_af ,_af alosetron)_af contraindicated_af ._af"
3007,"5HT3 Antagonists: Based on reports of profound hypotension and loss of consciousness when apomorphine was administered with ondansetron, the concomitant use of apomorphine with drugs of the 5HT3 antagonist class (including, for example, ondansetron, granisetron, dolasetron, palonosetron, and alosetron) is contraindicated .",apomorphine,palonosetron,advise,"5HT3_bf Antagonists:_bf Based_bf reports_bf profound_bf hypotension_bf loss_bf consciousness_bf DRUG administered_be ondansetron_be ,_be concomitant_be use_be DRUG drugs_af 5HT3_af antagonist_af class_af (including_af ,_af example_af ,_af ondansetron_af ,_af granisetron_af ,_af dolasetron_af ,_af OTHER_DRUG ,_af alosetron)_af contraindicated_af ._af"
3008,"5HT3 Antagonists: Based on reports of profound hypotension and loss of consciousness when apomorphine was administered with ondansetron, the concomitant use of apomorphine with drugs of the 5HT3 antagonist class (including, for example, ondansetron, granisetron, dolasetron, palonosetron, and alosetron) is contraindicated .",apomorphine,alosetron,advise,"5HT3_bf Antagonists:_bf Based_bf reports_bf profound_bf hypotension_bf loss_bf consciousness_bf DRUG administered_be ondansetron_be ,_be concomitant_be use_be DRUG drugs_af 5HT3_af antagonist_af class_af (including_af ,_af example_af ,_af ondansetron_af ,_af granisetron_af ,_af dolasetron_af ,_af palonosetron_af ,_af alosetron)_af contraindicated_af ._af"
3075,"Patients with major psychotic disorders, treated with neuroleptics, should be treated with dopamine agonists only if the potential benefits outweigh the risks.",neuroleptics,dopamine agonists,advise,"Patients_bf major_bf psychotic_bf disorders_bf ,_bf treated_bf DRUG ,_be treated_be dopamine_be agonists_be potential_be benefits_be outweigh_be risks_be ._be"
3076,Apraclonidine should not be used in patients receiving MAO inhibitors..,Apraclonidine,MAO inhibitors,advise,DRUG used_be patients_be receiving_be MAO_be inhibitors_be ._be ._be
3077,"Although no specific drug interactions with topical glaucoma drugs or systemic medications were identified in clinical studies of IOPIDINE 0.5% Ophthalmic Solution, the possibility of an additive or potentiating effect with CNS depressants (alcohol, barbiturates, opiates, sedatives, anesthetics) should be considered.",IOPIDINE,CNS depressants,advise,"Although_bf specific_bf drug_bf interactions_bf topical_bf glaucoma_bf drugs_bf systemic_bf medications_bf identified_bf clinical_bf studies_bf DRUG 0_be ._be 5%_be Ophthalmic_be Solution_be ,_be possibility_be additive_be potentiating_be effect_be CNS_be depressants_be (alcohol_be ,_be barbiturates_be ,_be opiates_be ,_be sedatives_be ,_be anesthetics)_be considered_be ._be"
3078,"Although no specific drug interactions with topical glaucoma drugs or systemic medications were identified in clinical studies of IOPIDINE 0.5% Ophthalmic Solution, the possibility of an additive or potentiating effect with CNS depressants (alcohol, barbiturates, opiates, sedatives, anesthetics) should be considered.",IOPIDINE,alcohol,advise,"Although_bf specific_bf drug_bf interactions_bf topical_bf glaucoma_bf drugs_bf systemic_bf medications_bf identified_bf clinical_bf studies_bf DRUG 0_be ._be 5%_be Ophthalmic_be Solution_be ,_be possibility_be additive_be potentiating_be effect_be CNS_be depressants_be (alcohol_be ,_be barbiturates_be ,_be opiates_be ,_be sedatives_be ,_be anesthetics)_be considered_be ._be"
3079,"Although no specific drug interactions with topical glaucoma drugs or systemic medications were identified in clinical studies of IOPIDINE 0.5% Ophthalmic Solution, the possibility of an additive or potentiating effect with CNS depressants (alcohol, barbiturates, opiates, sedatives, anesthetics) should be considered.",IOPIDINE,barbiturates,advise,"Although_bf specific_bf drug_bf interactions_bf topical_bf glaucoma_bf drugs_bf systemic_bf medications_bf identified_bf clinical_bf studies_bf DRUG 0_be ._be 5%_be Ophthalmic_be Solution_be ,_be possibility_be additive_be potentiating_be effect_be CNS_be depressants_be (alcohol_be ,_be OTHER_DRUG ,_af opiates_af ,_af sedatives_af ,_af anesthetics)_af considered_af ._af"
3080,"Although no specific drug interactions with topical glaucoma drugs or systemic medications were identified in clinical studies of IOPIDINE 0.5% Ophthalmic Solution, the possibility of an additive or potentiating effect with CNS depressants (alcohol, barbiturates, opiates, sedatives, anesthetics) should be considered.",IOPIDINE,opiates,advise,"Although_bf specific_bf drug_bf interactions_bf topical_bf glaucoma_bf drugs_bf systemic_bf medications_bf identified_bf clinical_bf studies_bf DRUG 0_be ._be 5%_be Ophthalmic_be Solution_be ,_be possibility_be additive_be potentiating_be effect_be CNS_be depressants_be (alcohol_be ,_be barbiturates_be ,_be OTHER_DRUG ,_af sedatives_af ,_af anesthetics)_af considered_af ._af"
3081,"Although no specific drug interactions with topical glaucoma drugs or systemic medications were identified in clinical studies of IOPIDINE 0.5% Ophthalmic Solution, the possibility of an additive or potentiating effect with CNS depressants (alcohol, barbiturates, opiates, sedatives, anesthetics) should be considered.",IOPIDINE,sedatives,advise,"Although_bf specific_bf drug_bf interactions_bf topical_bf glaucoma_bf drugs_bf systemic_bf medications_bf identified_bf clinical_bf studies_bf DRUG 0_be ._be 5%_be Ophthalmic_be Solution_be ,_be possibility_be additive_be potentiating_be effect_be CNS_be depressants_be (alcohol_be ,_be barbiturates_be ,_be opiates_be ,_be OTHER_DRUG ,_af anesthetics)_af considered_af ._af"
3082,"Although no specific drug interactions with topical glaucoma drugs or systemic medications were identified in clinical studies of IOPIDINE 0.5% Ophthalmic Solution, the possibility of an additive or potentiating effect with CNS depressants (alcohol, barbiturates, opiates, sedatives, anesthetics) should be considered.",IOPIDINE,anesthetics,advise,"Although_bf specific_bf drug_bf interactions_bf topical_bf glaucoma_bf drugs_bf systemic_bf medications_bf identified_bf clinical_bf studies_bf DRUG 0_be ._be 5%_be Ophthalmic_be Solution_be ,_be possibility_be additive_be potentiating_be effect_be CNS_be depressants_be (alcohol_be ,_be barbiturates_be ,_be opiates_be ,_be sedatives_be ,_be anesthetics)_be considered_be ._be"
3100,"Since apraclonidine may reduce pulse and blood pressure, caution in using drugs such as beta-blockers (ophthalmic and systemic), antihypertensives, and cardiac glycosides is advised.",apraclonidine,beta-blockers,advise,"Since_bf DRUG may_be reduce_be pulse_be blood_be pressure_be ,_be caution_be using_be drugs_be OTHER_DRUG (ophthalmic_af systemic)_af ,_af antihypertensives_af ,_af cardiac_af glycosides_af advised_af ._af"
3101,"Since apraclonidine may reduce pulse and blood pressure, caution in using drugs such as beta-blockers (ophthalmic and systemic), antihypertensives, and cardiac glycosides is advised.",apraclonidine,antihypertensives,advise,"Since_bf DRUG may_be reduce_be pulse_be blood_be pressure_be ,_be caution_be using_be drugs_be beta-blockers_be (ophthalmic_be systemic)_be ,_be OTHER_DRUG ,_af cardiac_af glycosides_af advised_af ._af"
